VBELN,AUART,KUNNR,MATNR,KWMENG,NETWR,WADAT,WERKS,GBSTA,ERDAT
SO-91214453,OR,CUST-1087,MAT-CG-10037,10,909920.14,2026-12-03,PL-KOL,B,2026-07-15
SO-81062902,OR,CUST-1051,MAT-CG-10037,37,3302815.01,2026-11-10,PL-HYD,A,2026-08-10
SO-76980546,RO,CUST-1050,MAT-CG-10048,49,581391.19,2026-09-30,PL-CHE,A,2026-01-07
SO-75927774,OR,CUST-1016,MAT-CG-10014,75,1963913.89,2026-09-18,PL-PUN,A,2026-01-08
SO-99635939,OR,CUST-1091,MAT-CG-10006,83,1749856.62,2027-01-16,PL-CHE,A,2026-06-04
SO-58518659,RO,CUST-1029,MAT-CG-10046,46,468576.1,2026-10-21,PL-BLR,A,2025-12-14
SO-84359498,RO,CUST-1048,MAT-CG-10002,94,507451.86,2027-01-19,PL-BLR,B,2026-07-10
SO-63440127,CS,CUST-1093,MAT-CG-10005,81,1396941.36,2026-12-14,PL-AHM,B,2026-07-17
SO-96213226,OR,CUST-1058,MAT-CG-10009,83,4402471.39,2027-01-10,PL-KOL,A,2025-11-14
SO-27318510,OR,CUST-1065,MAT-CG-10041,48,3700541.88,2026-09-14,PL-DEL,B,2026-06-06
SO-31738837,OR,CUST-1091,MAT-CG-10020,44,5064920.32,2027-01-10,PL-CHE,A,2026-04-17
SO-46836194,OR,CUST-1081,MAT-CG-10013,143,2860869.21,2027-01-14,PL-DEL,B,2025-09-29
SO-30695604,OR,CUST-1085,MAT-CG-10011,150,11699542.22,2027-02-01,PL-KOL,B,2026-08-02
SO-16101779,CS,CUST-1099,MAT-CG-10002,22,120579.48,2027-02-13,PL-HYD,B,2026-01-22
SO-76845536,CS,CUST-1070,MAT-CG-10040,9,424783.62,2026-11-16,PL-PUN,A,2025-09-07
SO-70873663,OR,CUST-1089,MAT-CG-10026,78,7189089.41,2026-12-21,PL-AHM,B,2025-12-29
SO-91424562,OR,CUST-1041,MAT-CG-10014,89,2578222.78,2026-11-20,PL-KOL,B,2026-06-18
SO-79119463,RO,CUST-1014,MAT-CG-10049,96,1443792.34,2026-12-28,PL-DEL,A,2026-01-05
SO-22993840,OR,CUST-1038,MAT-CG-10016,38,1961970.47,2027-02-04,PL-AHM,A,2026-06-03
SO-51971886,OR,CUST-1098,MAT-CG-10021,149,20969201.08,2027-01-09,PL-PUN,B,2026-03-19
SO-22086184,OR,CUST-1065,MAT-CG-10032,7,182170.24,2026-10-31,PL-HYD,B,2026-02-24
SO-47763008,OR,CUST-1077,MAT-CG-10004,14,154401.61,2027-02-14,PL-PUN,A,2025-11-22
SO-67838146,OR,CUST-1034,MAT-CG-10001,29,117485.36,2026-12-12,PL-KOL,A,2026-01-30
SO-85405783,OR,CUST-1047,MAT-CG-10004,147,1550775.41,2026-09-18,PL-AHM,B,2026-01-05
SO-47543473,RO,CUST-1088,MAT-CG-10049,142,2224527.63,2026-10-02,PL-DEL,B,2026-02-13
SO-84870921,OR,CUST-1097,MAT-CG-10051,88,2580943.81,2027-02-01,PL-NGP,B,2025-12-10
SO-15222944,OR,CUST-1092,MAT-CG-10003,13,99731.85,2026-12-30,PL-NGP,B,2026-06-08
SO-28761086,OR,CUST-1079,MAT-CG-10039,133,4363825.83,2026-12-09,PL-JAI,C,2026-03-23
SO-78090664,RO,CUST-1069,MAT-CG-10038,88,1807604.61,2027-01-22,PL-CHE,B,2026-08-15
SO-24710878,OR,CUST-1075,MAT-CG-10024,86,2973873.85,2027-02-23,PL-MUM,B,2025-12-24
SO-87528776,OR,CUST-1093,MAT-CG-10017,150,8810595.52,2026-12-31,PL-BLR,B,2025-10-05
SO-29834119,CS,CUST-1032,MAT-CG-10047,99,735558.66,2027-02-26,PL-DEL,A,2026-08-14
SO-66207740,OR,CUST-1053,MAT-CG-10029,82,724046.74,2026-12-14,PL-NGP,B,2025-12-25
SO-28533117,RO,CUST-1027,MAT-CG-10048,17,192354.72,2027-02-16,PL-PUN,B,2026-02-12
SO-71694994,RO,CUST-1044,MAT-CG-10021,46,6839300.79,2027-02-20,PL-CHE,B,2025-12-19
SO-47447604,RO,CUST-1039,MAT-CG-10013,65,1285902.78,2026-11-15,PL-CHE,C,2026-05-09
SO-52552488,OR,CUST-1045,MAT-CG-10045,127,1005846.66,2026-11-09,PL-CHE,A,2025-11-03
SO-60961690,OR,CUST-1045,MAT-CG-10044,141,869041.48,2026-10-07,PL-CHE,A,2026-03-29
SO-56488123,OR,CUST-1084,MAT-CG-10046,22,228544.44,2026-12-31,PL-HYD,A,2025-11-21
SO-46456416,OR,CUST-1014,MAT-CG-10018,145,11571463.02,2027-01-28,PL-HYD,A,2026-07-29
SO-40289135,CS,CUST-1030,MAT-CG-10043,137,576599.36,2026-12-14,PL-KOL,C,2025-12-25
SO-10695441,RO,CUST-1021,MAT-CG-10007,37,1075637.58,2026-12-30,PL-PUN,C,2026-05-13
SO-53106399,OR,CUST-1083,MAT-CG-10049,75,1086142.78,2026-09-22,PL-JAI,A,2025-11-23
SO-33496796,OR,CUST-1023,MAT-CG-10048,11,130866.11,2026-09-09,PL-AHM,B,2026-05-20
SO-15028625,OR,CUST-1039,MAT-CG-10048,76,860777.56,2026-09-27,PL-KOL,A,2026-01-03
SO-80372842,OR,CUST-1018,MAT-CG-10042,141,442463.76,2026-12-28,PL-CHE,A,2026-06-27
SO-71594457,CS,CUST-1033,MAT-CG-10022,43,9113932.03,2026-09-03,PL-KOL,A,2025-11-06
SO-33554528,RO,CUST-1082,MAT-CG-10044,51,311967.84,2026-12-18,PL-NGP,A,2026-07-10
SO-34800912,OR,CUST-1062,MAT-CG-10026,26,2489946.23,2026-11-02,PL-MUM,A,2026-02-08
SO-45835371,OR,CUST-1039,MAT-CG-10016,116,5704582.42,2027-01-24,PL-MUM,A,2025-09-23
SO-18338186,CS,CUST-1016,MAT-CG-10024,62,2192261.18,2026-10-10,PL-AHM,C,2025-12-09
SO-25759274,CS,CUST-1038,MAT-CG-10046,81,854912.73,2026-10-26,PL-HYD,A,2025-12-22
SO-91300905,OR,CUST-1054,MAT-CG-10010,118,7713088.41,2026-12-29,PL-NGP,C,2026-05-04
SO-89968863,OR,CUST-1068,MAT-CG-10049,65,995362.84,2026-12-01,PL-DEL,B,2026-06-27
SO-77845324,OR,CUST-1074,MAT-CG-10004,142,1494603.56,2026-10-12,PL-KOL,B,2026-01-09
SO-88268756,OR,CUST-1012,MAT-CG-10008,54,2344768.94,2026-12-23,PL-MUM,B,2026-06-17
SO-71310453,RO,CUST-1008,MAT-CG-10033,108,1883401.98,2027-02-19,PL-CHE,C,2026-08-12
SO-10404729,CS,CUST-1028,MAT-CG-10026,67,6649344.57,2026-09-11,PL-AHM,A,2025-08-30
SO-18087373,OR,CUST-1061,MAT-CG-10005,140,2263985.13,2026-12-13,PL-BLR,A,2025-09-29
SO-60259293,OR,CUST-1058,MAT-CG-10047,109,910796.42,2026-12-05,PL-AHM,A,2025-09-08
SO-27849589,CS,CUST-1045,MAT-CG-10043,140,595003.79,2027-01-15,PL-AHM,B,2026-06-19
SO-10466177,OR,CUST-1039,MAT-CG-10047,59,466490.54,2027-01-17,PL-AHM,B,2026-02-10
SO-71824078,OR,CUST-1020,MAT-CG-10015,65,2237411.13,2026-09-28,PL-MUM,C,2026-01-21
SO-42301683,OR,CUST-1009,MAT-CG-10040,6,275532.37,2026-09-08,PL-PUN,B,2025-09-13
SO-42847661,CS,CUST-1006,MAT-CG-10046,14,148489.41,2026-10-29,PL-NGP,A,2026-07-26
SO-48824283,OR,CUST-1094,MAT-CG-10009,130,7001667.09,2027-01-25,PL-JAI,C,2026-03-12
SO-29228089,CS,CUST-1067,MAT-CG-10016,79,3692005.67,2026-11-15,PL-CHE,A,2025-11-11
SO-94019376,CS,CUST-1055,MAT-CG-10038,46,953567.71,2026-09-12,PL-KOL,C,2025-09-14
SO-52779814,CS,CUST-1054,MAT-CG-10025,136,7783357.38,2026-11-15,PL-AHM,A,2025-11-21
SO-40245233,OR,CUST-1091,MAT-CG-10031,63,1108646.37,2026-12-27,PL-MUM,B,2026-01-24
SO-81134297,OR,CUST-1050,MAT-CG-10027,144,19214294.09,2026-10-22,PL-KOL,C,2026-07-14
SO-22410307,RO,CUST-1093,MAT-CG-10029,96,863613.11,2026-09-13,PL-CHE,B,2025-09-13
SO-19768947,OR,CUST-1098,MAT-CG-10039,12,408838.7,2027-02-18,PL-NGP,A,2025-12-21
SO-50693207,OR,CUST-1028,MAT-CG-10014,87,2545533.67,2026-09-30,PL-PUN,A,2025-09-01
SO-63235053,OR,CUST-1071,MAT-CG-10039,54,1772558.55,2026-11-11,PL-AHM,B,2025-11-23
SO-51395738,OR,CUST-1047,MAT-CG-10042,93,278751.85,2027-01-05,PL-PUN,A,2025-12-26
SO-37263310,OR,CUST-1041,MAT-CG-10049,83,1265159.06,2027-01-22,PL-HYD,C,2026-06-10
SO-84264220,RO,CUST-1075,MAT-CG-10002,68,380044.45,2026-11-14,PL-BLR,A,2026-03-08
SO-86475853,OR,CUST-1064,MAT-CG-10015,99,3542237.24,2027-02-22,PL-KOL,A,2025-12-16
SO-71851421,OR,CUST-1094,MAT-CG-10047,127,1050727.89,2026-10-13,PL-BLR,C,2025-11-17
SO-82764376,CS,CUST-1008,MAT-CG-10032,49,1287090.73,2026-09-19,PL-MUM,A,2026-01-24
SO-19122502,CS,CUST-1020,MAT-CG-10009,61,3029122.03,2027-01-07,PL-PUN,A,2026-07-24
SO-98487646,OR,CUST-1003,MAT-CG-10040,125,5660587.44,2027-01-19,PL-AHM,A,2026-08-15
SO-81905550,OR,CUST-1003,MAT-CG-10034,72,1885540.78,2027-02-25,PL-AHM,A,2026-06-30
SO-29984682,OR,CUST-1025,MAT-CG-10007,136,4072248.35,2026-11-03,PL-KOL,A,2026-02-01
SO-64496076,OR,CUST-1073,MAT-CG-10006,97,2098964.44,2027-02-25,PL-HYD,A,2025-09-07
SO-22549425,OR,CUST-1049,MAT-CG-10006,10,220567.69,2026-12-30,PL-MUM,C,2026-08-19
SO-21097943,OR,CUST-1056,MAT-CG-10045,45,360550.74,2026-11-23,PL-JAI,A,2025-11-26
SO-38375916,CS,CUST-1073,MAT-CG-10003,60,469634.78,2026-09-11,PL-DEL,C,2026-04-02
SO-98329927,OR,CUST-1023,MAT-CG-10035,146,6653807.33,2026-11-19,PL-MUM,A,2025-10-27
SO-20326375,OR,CUST-1021,MAT-CG-10010,103,6606975.22,2027-01-23,PL-AHM,C,2025-11-20
SO-28783850,CS,CUST-1093,MAT-CG-10022,100,19364303.2,2026-11-27,PL-MUM,A,2026-01-12
SO-55713584,RO,CUST-1099,MAT-CG-10015,21,757942.38,2027-01-30,PL-AHM,A,2026-08-08
SO-70471823,OR,CUST-1030,MAT-CG-10041,71,5074222.71,2026-12-05,PL-AHM,A,2025-09-09
SO-21501669,RO,CUST-1038,MAT-CG-10038,99,2120821.34,2026-09-18,PL-DEL,A,2026-06-06
SO-62294176,OR,CUST-1047,MAT-CG-10025,41,2246750.82,2026-09-01,PL-CHE,B,2026-02-20
SO-23721268,OR,CUST-1012,MAT-CG-10049,71,1047743.83,2026-12-23,PL-NGP,B,2025-12-04
SO-13524813,OR,CUST-1046,MAT-CG-10027,28,3903849.29,2027-01-30,PL-JAI,A,2026-02-07
SO-65540647,OR,CUST-1100,MAT-CG-10001,76,281218.69,2027-01-21,PL-HYD,B,2025-11-30
SO-32750139,OR,CUST-1035,MAT-CG-10011,99,7380455.87,2027-01-04,PL-BLR,A,2026-05-30
SO-66519399,OR,CUST-1062,MAT-CG-10028,72,475767.17,2026-12-01,PL-CHE,A,2025-10-07
SO-71453148,OR,CUST-1018,MAT-CG-10032,52,1324385.67,2026-12-10,PL-KOL,B,2026-02-10
SO-54927535,OR,CUST-1084,MAT-CG-10022,114,24995964.42,2026-10-04,PL-CHE,A,2025-10-19
SO-74291599,OR,CUST-1023,MAT-CG-10045,53,443149.72,2026-11-20,PL-CHE,C,2025-09-02
SO-87293208,OR,CUST-1042,MAT-CG-10041,127,9102496.5,2026-12-09,PL-KOL,A,2025-11-08
SO-34149421,CS,CUST-1099,MAT-CG-10013,141,2920572.99,2026-12-27,PL-HYD,B,2026-03-27
SO-64914054,CS,CUST-1064,MAT-CG-10045,19,141739.69,2026-11-16,PL-HYD,A,2025-09-20
SO-60598851,OR,CUST-1058,MAT-CG-10010,110,7470957.28,2026-12-31,PL-JAI,B,2025-11-23
SO-82966824,OR,CUST-1047,MAT-CG-10033,109,1938284.92,2027-01-15,PL-JAI,C,2026-07-11
SO-98261798,CS,CUST-1046,MAT-CG-10007,65,1825600.15,2027-02-03,PL-MUM,B,2025-09-27
SO-54506155,OR,CUST-1014,MAT-CG-10044,104,561860.16,2026-11-05,PL-HYD,B,2025-12-01
SO-87206788,OR,CUST-1058,MAT-CG-10036,150,8818901.22,2026-12-27,PL-JAI,C,2025-12-10
SO-13296743,OR,CUST-1014,MAT-CG-10010,90,5559445.87,2026-09-21,PL-DEL,C,2026-06-12
SO-56045630,OR,CUST-1027,MAT-CG-10023,81,23546775.14,2026-11-28,PL-PUN,A,2026-01-11
SO-52803305,OR,CUST-1039,MAT-CG-10047,117,870991.85,2026-09-29,PL-MUM,A,2025-09-26
SO-42737441,RO,CUST-1023,MAT-CG-10007,44,1305263.2,2026-11-23,PL-NGP,B,2025-12-30
SO-94524999,OR,CUST-1024,MAT-CG-10015,105,3803516.39,2026-12-19,PL-AHM,A,2025-10-13
SO-89484162,OR,CUST-1050,MAT-CG-10013,117,2240869.07,2026-10-24,PL-HYD,A,2026-07-22
SO-82060023,OR,CUST-1047,MAT-CG-10037,28,2503565.34,2026-12-26,PL-DEL,A,2025-09-14
SO-95779702,OR,CUST-1077,MAT-CG-10032,137,3531126.63,2026-12-09,PL-JAI,A,2026-02-26
SO-92861016,OR,CUST-1087,MAT-CG-10023,119,35480008.38,2026-11-15,PL-JAI,B,2026-07-11
SO-52035079,OR,CUST-1031,MAT-CG-10044,36,203044.91,2026-10-16,PL-KOL,C,2026-06-12
SO-66135102,RO,CUST-1018,MAT-CG-10033,101,1765218.26,2026-12-17,PL-BLR,B,2025-10-02
SO-84479105,OR,CUST-1063,MAT-CG-10035,46,1920372.67,2026-10-17,PL-KOL,B,2025-10-10
SO-11286267,OR,CUST-1018,MAT-CG-10004,93,932613.96,2026-12-07,PL-NGP,B,2025-09-23
SO-75998330,OR,CUST-1091,MAT-CG-10032,106,2906223.85,2027-01-03,PL-BLR,A,2025-11-07
SO-49203644,OR,CUST-1036,MAT-CG-10002,58,302500.85,2026-11-12,PL-BLR,B,2025-11-07
SO-83782999,RO,CUST-1015,MAT-CG-10048,128,1450679.54,2026-11-07,PL-NGP,A,2025-11-19
SO-69239219,RO,CUST-1028,MAT-CG-10049,12,197736.83,2026-09-26,PL-HYD,A,2026-08-07
SO-56785209,OR,CUST-1057,MAT-CG-10029,69,623683.23,2026-09-30,PL-HYD,A,2025-10-26
SO-91907952,CS,CUST-1055,MAT-CG-10045,91,681521.93,2026-10-05,PL-HYD,A,2026-07-24
SO-81441519,OR,CUST-1077,MAT-CG-10037,91,8383275.93,2026-11-21,PL-CHE,A,2025-11-03
SO-22780905,OR,CUST-1097,MAT-CG-10018,133,10860746.25,2026-09-15,PL-CHE,C,2026-06-20
SO-43511112,OR,CUST-1092,MAT-CG-10045,35,268090.54,2026-11-02,PL-AHM,B,2026-06-12
SO-94263610,OR,CUST-1049,MAT-CG-10037,70,6371286.22,2027-02-09,PL-DEL,B,2025-12-03
SO-59535894,OR,CUST-1063,MAT-CG-10048,73,799391.7,2026-08-31,PL-DEL,C,2026-01-01
SO-18500100,RO,CUST-1051,MAT-CG-10041,93,6516397.99,2026-12-18,PL-HYD,B,2026-04-08
SO-55332729,RO,CUST-1074,MAT-CG-10021,74,10370538.04,2027-01-02,PL-KOL,C,2026-07-30
SO-94044392,OR,CUST-1003,MAT-CG-10003,27,200979.01,2026-10-10,PL-PUN,B,2026-08-23
SO-27705074,CS,CUST-1039,MAT-CG-10028,53,320996.41,2026-11-09,PL-DEL,C,2026-02-20
SO-59908025,CS,CUST-1084,MAT-CG-10017,23,1373829.64,2026-12-10,PL-CHE,C,2025-08-30
SO-67610401,CS,CUST-1012,MAT-CG-10049,61,967730.37,2026-08-31,PL-HYD,B,2026-07-15
SO-79718627,CS,CUST-1057,MAT-CG-10009,59,2929870.16,2027-02-25,PL-KOL,A,2026-01-19
SO-74115841,OR,CUST-1030,MAT-CG-10045,35,270420.93,2026-09-26,PL-DEL,A,2026-02-16
SO-61367949,OR,CUST-1083,MAT-CG-10020,37,4731653.39,2026-10-06,PL-DEL,B,2025-11-08
SO-69069144,OR,CUST-1093,MAT-CG-10001,44,165894.44,2026-10-08,PL-AHM,B,2025-09-06
SO-21635070,OR,CUST-1018,MAT-CG-10029,57,507523.72,2027-01-28,PL-AHM,A,2026-01-16
SO-43257324,OR,CUST-1083,MAT-CG-10021,37,5150047.34,2027-01-19,PL-JAI,B,2025-10-16
SO-98369672,OR,CUST-1027,MAT-CG-10019,8,734848.99,2027-01-08,PL-HYD,C,2026-02-04
SO-42123815,OR,CUST-1050,MAT-CG-10019,15,1300445.31,2027-01-05,PL-JAI,A,2025-11-26
SO-52476240,OR,CUST-1050,MAT-CG-10001,94,387656.42,2027-01-23,PL-AHM,A,2025-11-17
SO-73218512,OR,CUST-1003,MAT-CG-10044,46,269901.09,2026-09-03,PL-CHE,A,2026-08-03
SO-77996124,OR,CUST-1081,MAT-CG-10004,103,1110503.56,2026-12-15,PL-AHM,C,2026-01-30
SO-82162880,RO,CUST-1020,MAT-CG-10006,139,3022652.21,2026-11-18,PL-DEL,B,2026-05-11
SO-53855682,OR,CUST-1076,MAT-CG-10010,139,9002635.4,2027-02-13,PL-DEL,A,2025-08-31
SO-17772004,OR,CUST-1012,MAT-CG-10028,63,424202.37,2026-09-29,PL-PUN,B,2025-10-16
SO-99399687,CS,CUST-1085,MAT-CG-10004,81,876614.26,2026-09-30,PL-MUM,C,2026-06-14
SO-31989243,OR,CUST-1045,MAT-CG-10045,4,31516.49,2026-11-05,PL-BLR,A,2026-06-20
SO-25845304,OR,CUST-1043,MAT-CG-10048,70,818936.18,2026-11-08,PL-NGP,A,2026-04-11
SO-94226031,OR,CUST-1064,MAT-CG-10046,149,1592142.58,2026-12-01,PL-MUM,B,2025-11-06
SO-31113788,OR,CUST-1099,MAT-CG-10011,96,6953948.77,2027-01-24,PL-DEL,A,2025-12-06
SO-11649277,OR,CUST-1006,MAT-CG-10001,13,50850.59,2026-12-07,PL-BLR,A,2026-08-05
SO-40133935,OR,CUST-1032,MAT-CG-10036,109,6446614.78,2026-11-20,PL-CHE,A,2025-11-04
SO-77382794,CS,CUST-1007,MAT-CG-10024,32,1086270.75,2027-01-10,PL-MUM,B,2026-07-19
SO-51701149,OR,CUST-1012,MAT-CG-10030,74,940959.98,2026-09-02,PL-KOL,A,2026-03-27
SO-93579731,OR,CUST-1060,MAT-CG-10037,79,7106192.68,2027-01-04,PL-HYD,C,2025-11-17
SO-30208677,OR,CUST-1053,MAT-CG-10049,64,922002.4,2027-01-16,PL-KOL,C,2025-09-02
SO-10196231,CS,CUST-1049,MAT-CG-10001,87,358227.48,2026-11-17,PL-DEL,A,2025-11-25
SO-76038997,OR,CUST-1019,MAT-CG-10016,109,5455534.01,2026-09-23,PL-MUM,A,2025-11-30
SO-71533194,CS,CUST-1011,MAT-CG-10027,97,13573600.61,2027-01-07,PL-BLR,C,2026-02-03
SO-18359464,OR,CUST-1085,MAT-CG-10005,147,2706849.91,2026-10-30,PL-CHE,A,2026-03-15
SO-52688984,OR,CUST-1035,MAT-CG-10026,85,8035797.43,2026-10-21,PL-BLR,B,2026-06-29
SO-32062036,OR,CUST-1060,MAT-CG-10010,29,1796145.57,2026-09-30,PL-NGP,A,2026-05-09
SO-72189327,OR,CUST-1016,MAT-CG-10029,80,648971.47,2027-02-22,PL-CHE,C,2025-09-01
SO-38859601,OR,CUST-1019,MAT-CG-10039,12,380962.52,2026-11-02,PL-KOL,B,2025-12-04
SO-44918995,OR,CUST-1004,MAT-CG-10004,78,868159.71,2026-12-24,PL-NGP,C,2025-11-15
SO-72014395,OR,CUST-1018,MAT-CG-10016,26,1197586.62,2026-09-15,PL-HYD,A,2026-05-14
SO-94597104,CS,CUST-1011,MAT-CG-10026,97,9631975.83,2026-11-05,PL-DEL,A,2026-07-21
SO-27286109,OR,CUST-1043,MAT-CG-10013,115,2241399.35,2026-12-27,PL-MUM,A,2025-11-03
SO-76588957,OR,CUST-1049,MAT-CG-10028,103,671555.9,2026-10-14,PL-KOL,A,2026-05-20
SO-69862640,OR,CUST-1005,MAT-CG-10018,73,5824381.2,2027-02-04,PL-HYD,C,2026-03-25
SO-83912181,OR,CUST-1008,MAT-CG-10032,107,2640685.79,2026-12-07,PL-BLR,B,2026-05-13
SO-43440045,CS,CUST-1070,MAT-CG-10042,136,423593.22,2026-12-06,PL-KOL,B,2025-11-18
SO-56175477,RO,CUST-1065,MAT-CG-10051,126,3791300.05,2026-11-08,PL-BLR,A,2026-03-13
SO-13933043,OR,CUST-1008,MAT-CG-10039,58,2036061.01,2026-12-29,PL-NGP,A,2025-10-28
SO-23439803,OR,CUST-1085,MAT-CG-10015,42,1438554.38,2027-01-14,PL-MUM,A,2025-11-02
SO-33315234,OR,CUST-1031,MAT-CG-10025,92,5401845.07,2027-02-25,PL-KOL,B,2026-08-09
SO-86188876,RO,CUST-1019,MAT-CG-10046,92,997910.0,2026-10-18,PL-PUN,B,2026-03-18
SO-15095407,OR,CUST-1008,MAT-CG-10012,127,12004714.22,2026-10-26,PL-MUM,B,2025-12-22
SO-92427773,OR,CUST-1017,MAT-CG-10001,86,330244.68,2026-10-15,PL-KOL,A,2026-08-12
SO-24887509,RO,CUST-1047,MAT-CG-10010,38,2570750.9,2026-12-04,PL-AHM,B,2026-07-03
SO-53299069,OR,CUST-1021,MAT-CG-10022,79,16775276.17,2026-12-20,PL-PUN,C,2026-03-14
SO-92370625,OR,CUST-1029,MAT-CG-10012,145,14563003.56,2026-10-14,PL-AHM,A,2025-09-05
SO-33851602,CS,CUST-1001,MAT-CG-10019,34,3309817.06,2027-01-24,PL-AHM,B,2026-08-07
SO-92058189,OR,CUST-1082,MAT-CG-10012,83,8222790.15,2027-01-05,PL-BLR,A,2026-07-15
SO-52885071,OR,CUST-1082,MAT-CG-10016,90,4610228.84,2026-09-22,PL-KOL,B,2026-08-18
SO-43492807,CS,CUST-1009,MAT-CG-10017,55,3373848.0,2026-09-27,PL-MUM,A,2026-02-07
SO-32325567,OR,CUST-1064,MAT-CG-10029,109,987387.15,2026-11-28,PL-NGP,B,2026-07-03
SO-97371655,CS,CUST-1029,MAT-CG-10031,149,2629057.0,2026-09-18,PL-MUM,A,2026-08-13
SO-24055958,OR,CUST-1044,MAT-CG-10021,68,9584869.34,2026-12-05,PL-BLR,C,2026-07-16
SO-55358959,RO,CUST-1079,MAT-CG-10036,25,1577791.04,2026-09-07,PL-AHM,C,2026-05-31
SO-31086112,OR,CUST-1013,MAT-CG-10039,113,3714256.06,2026-10-18,PL-AHM,C,2025-11-13
SO-45603234,CS,CUST-1037,MAT-CG-10047,140,1081307.88,2026-09-24,PL-MUM,B,2025-11-04
SO-30614492,OR,CUST-1047,MAT-CG-10036,127,7075391.69,2026-09-22,PL-CHE,C,2025-10-07
SO-36799898,OR,CUST-1004,MAT-CG-10039,124,4003778.96,2027-02-10,PL-CHE,A,2025-12-24
SO-63347164,OR,CUST-1063,MAT-CG-10008,80,3471895.94,2026-11-06,PL-DEL,C,2025-11-18
SO-59797531,OR,CUST-1048,MAT-CG-10025,49,2716749.07,2026-09-11,PL-CHE,B,2025-12-28
SO-46045780,RO,CUST-1008,MAT-CG-10017,59,3516774.54,2027-02-25,PL-DEL,A,2025-09-15
SO-65564347,RO,CUST-1030,MAT-CG-10023,140,40881421.95,2026-12-08,PL-NGP,B,2025-11-22
SO-86868410,OR,CUST-1061,MAT-CG-10044,123,693089.6,2026-12-10,PL-MUM,B,2025-11-04
SO-93251648,OR,CUST-1016,MAT-CG-10034,148,4116662.55,2026-12-23,PL-BLR,A,2026-05-07
SO-15727862,OR,CUST-1011,MAT-CG-10013,34,746860.34,2026-12-20,PL-HYD,C,2026-06-09
SO-52916049,CS,CUST-1009,MAT-CG-10039,68,2157455.61,2027-01-20,PL-AHM,B,2026-03-10
SO-71492815,OR,CUST-1090,MAT-CG-10018,135,10784312.0,2027-01-11,PL-AHM,A,2026-01-23
SO-86046949,RO,CUST-1075,MAT-CG-10010,39,2568698.19,2026-09-25,PL-DEL,B,2026-07-03
SO-81891508,OR,CUST-1053,MAT-CG-10051,75,2238235.96,2027-02-14,PL-PUN,B,2025-10-16
SO-33112256,OR,CUST-1052,MAT-CG-10031,11,193559.04,2027-02-02,PL-AHM,A,2026-02-02
SO-16615722,CS,CUST-1061,MAT-CG-10022,62,13499624.59,2026-12-04,PL-MUM,A,2026-03-21
SO-75984013,CS,CUST-1088,MAT-CG-10020,73,8248586.63,2026-10-28,PL-BLR,A,2026-01-09
SO-46160937,CS,CUST-1054,MAT-CG-10050,84,1912472.93,2026-09-22,PL-HYD,B,2026-05-07
SO-79323646,OR,CUST-1008,MAT-CG-10027,126,17472897.42,2026-10-10,PL-DEL,A,2025-12-07
