KUNNR,NAME1,ORT01,BZIRK,KKBER,KLIMK,SKFOR,CTLPC,CTLPC_DESC,CRBLB,CASHD,ZTERM,GRUPP,WAERS
CUST-1037,Thermax Boilers Pune,Maharashtra,ZONE-WEST,CC01,2800000,1162206.16,002,MEDIUM,,2026-06-14,NET45,CG03,INR
CUST-1038,IOCL Paradip Refinery,Odisha,ZONE-EAST,CC01,4000000,1644754.0,001,LOW,,2026-07-10,NET60,CG04,INR
CUST-1039,Coal India Dhanbad,Jharkhand,ZONE-EAST,CC01,5000000,1986298.11,002,MEDIUM,,2026-06-17,NET60,CG04,INR
CUST-1040,RINL Vizag Steel,Andhra Pradesh,ZONE-SOUTH,CC01,6000000,2973188.5,001,LOW,,2026-07-17,NET45,CG04,INR
CUST-1041,Welspun Corp Anjar,Gujarat,ZONE-WEST,CC01,2500000,525839.14,001,LOW,,2026-07-19,NET30,CG03,INR
CUST-1042,Jindal Steel Raigarh,Chhattisgarh,ZONE-CENTRAL,CC01,4500000,2079967.56,001,LOW,,2026-07-02,NET45,CG03,INR
CUST-1043,Essar Steel Hazira,Gujarat,ZONE-WEST,CC01,5500000,1215569.45,001,LOW,,2026-07-01,LC,CG03,INR
CUST-1044,GMR Energy Hyderabad,Telangana,ZONE-SOUTH,CC01,3000000,2683876.93,002,MEDIUM,,2026-08-03,NET45,CG01,INR
CUST-1045,Torrent Power Ahmedabad,Gujarat,ZONE-WEST,CC01,2500000,936529.94,001,LOW,,2026-07-11,NET30,CG03,INR
CUST-1046,CESC Kolkata,West Bengal,ZONE-EAST,CC01,3500000,2907231.83,002,MEDIUM,,2026-08-11,NET45,CG02,INR
CUST-1047,Tata Power Mumbai,Maharashtra,ZONE-WEST,CC01,4000000,1769141.12,002,MEDIUM,,2026-07-21,NET30,CG01,INR
CUST-1048,BPCL Kochi Refinery,Kerala,ZONE-SOUTH,CC01,3000000,1966467.86,001,LOW,,2026-06-11,NET60,CG03,INR
CUST-1049,Rashtriya Chemicals Thal,Maharashtra,ZONE-WEST,CC01,2000000,477326.66,001,LOW,,2026-06-02,NET45,CG04,INR
CUST-1050,GAIL India Vijaipur,Madhya Pradesh,ZONE-CENTRAL,CC01,3500000,1170579.89,001,LOW,,2026-08-05,NET60,CG02,INR
CUST-1051,Vedanta Zinc Rajpura Dariba,Rajasthan,ZONE-NORTH,CC01,4500000,4021023.86,001,LOW,,2026-07-01,NET45,CG04,INR
CUST-1052,Sterlite Copper Tuticorin,Tamil Nadu,ZONE-SOUTH,CC01,3800000,2068806.36,003,HIGH,,2026-06-04,NET60,CG04,INR
CUST-1053,Hutti Gold Mines Karnataka,Karnataka,ZONE-SOUTH,CC01,1200000,356066.79,001,LOW,,2026-07-18,NET30,CG01,INR
CUST-1054,National Aluminium Angul,Odisha,ZONE-EAST,CC01,5500000,1510478.95,001,LOW,,2026-08-05,NET45,CG03,INR
CUST-1055,Mangalore Refinery MRPL,Karnataka,ZONE-SOUTH,CC01,4000000,1087754.34,002,MEDIUM,,2026-07-11,NET60,CG03,INR
CUST-1056,Chennai Petroleum CPCL,Tamil Nadu,ZONE-SOUTH,CC01,3500000,2003015.14,001,LOW,,2026-07-09,NET60,CG01,INR
CUST-1057,Numaligarh Refinery Assam,Assam,ZONE-EAST,CC01,2500000,2127987.05,001,LOW,,2026-06-20,NET45,CG01,INR
CUST-1058,Bongaigaon Refinery Assam,Assam,ZONE-EAST,CC01,2000000,1247886.29,001,LOW,,2026-07-08,NET45,CG04,INR
CUST-1059,Bharat Petroleum Mahul,Maharashtra,ZONE-WEST,CC01,4500000,4112903.77,002,MEDIUM,,2026-08-11,NET60,CG02,INR
CUST-1060,EID Parry Nellikuppam,Tamil Nadu,ZONE-SOUTH,CC01,1000000,324480.19,003,HIGH,,2026-06-12,NET30,CG03,INR
CUST-1061,Balrampur Chini Mills UP,Uttar Pradesh,ZONE-NORTH,CC01,1500000,1148440.96,001,LOW,,2026-08-26,NET30,CG03,INR
CUST-1062,Shree Renuka Sugars Belgaum,Karnataka,ZONE-SOUTH,CC01,1200000,1099002.64,001,LOW,,2026-07-06,NET30,CG03,INR
CUST-1063,Dhampur Sugar Bijnor,Uttar Pradesh,ZONE-NORTH,CC01,800000,527830.17,003,HIGH,,2026-07-04,NET45,CG01,INR
CUST-1064,Triveni Engineering Deoband,Uttar Pradesh,ZONE-NORTH,CC01,1000000,279853.56,001,LOW,,2026-08-06,NET30,CG01,INR
CUST-1065,Shree Cement Beawar,Rajasthan,ZONE-NORTH,CC01,3000000,1142653.6,001,LOW,,2026-06-27,NET45,CG03,INR
CUST-1066,Ambuja Cement Rabriyawas,Rajasthan,ZONE-NORTH,CC01,2800000,1256969.97,001,LOW,,2026-06-13,NET45,CG04,INR
CUST-1067,JK Cement Nimbol,Rajasthan,ZONE-NORTH,CC01,1800000,1049847.77,003,HIGH,,2026-06-29,NET30,CG03,INR
CUST-1068,Kesoram Cement Basantnagar,Telangana,ZONE-SOUTH,CC01,1200000,789122.12,003,HIGH,,2026-07-11,NET30,CG03,INR
CUST-1069,Ramco Cement Ariyalur,Tamil Nadu,ZONE-SOUTH,CC01,2000000,651752.94,003,HIGH,,2026-08-11,NET45,CG01,INR
CUST-1070,India Cements Sankarnagar,Tamil Nadu,ZONE-SOUTH,CC01,1500000,1050293.41,002,MEDIUM,,2026-07-29,NET30,CG03,INR
CUST-1071,Dalmia Cement Dalmiapuram,Tamil Nadu,ZONE-SOUTH,CC01,2200000,1013454.22,003,HIGH,,2026-07-24,NET45,CG01,INR
CUST-1072,Orient Cement Devapur,Telangana,ZONE-SOUTH,CC01,1000000,880092.38,001,LOW,,2026-07-26,NET30,CG03,INR
CUST-1073,Prism Cement Satna,Madhya Pradesh,ZONE-CENTRAL,CC01,1200000,486418.8,002,MEDIUM,,2026-06-29,NET45,CG03,INR
CUST-1074,Century Textiles Maihar,Madhya Pradesh,ZONE-CENTRAL,CC01,1800000,1487351.95,002,MEDIUM,,2026-08-18,NET30,CG01,INR
CUST-1075,Grasim Industries Nagda,Madhya Pradesh,ZONE-CENTRAL,CC01,3500000,1187743.71,001,LOW,,2026-07-01,NET45,CG03,INR
CUST-1076,Indo Gulf Fertilisers Jagdishpur,Uttar Pradesh,ZONE-NORTH,CC01,2000000,1285278.33,002,MEDIUM,,2026-06-26,NET45,CG01,INR
CUST-1077,Nagarjuna Fertilisers Kakinada,Andhra Pradesh,ZONE-SOUTH,CC01,1800000,1527916.82,001,LOW,,2026-07-08,NET30,CG02,INR
CUST-1078,Deepak Fertilisers Pune,Maharashtra,ZONE-WEST,CC01,2200000,904856.21,001,LOW,,2026-06-06,NET45,CG02,INR
CUST-1079,GSFC Vadodara,Gujarat,ZONE-WEST,CC01,2500000,555269.17,001,LOW,,2026-06-17,NET45,CG04,INR
CUST-1080,GNFC Bharuch,Gujarat,ZONE-WEST,CC01,2000000,1580292.75,002,MEDIUM,,2026-06-28,NET30,CG03,INR
CUST-1081,Welspun India Anjar,Gujarat,ZONE-WEST,CC01,1500000,1007459.18,002,MEDIUM,,2026-08-20,NET30,CG01,INR
CUST-1082,Raymond Textiles Thane,Maharashtra,ZONE-WEST,CC01,1200000,574389.49,002,MEDIUM,,2026-07-27,NET30,CG01,INR
CUST-1083,Arvind Mills Naroda,Gujarat,ZONE-WEST,CC01,1000000,714625.89,001,LOW,,2026-08-03,NET45,CG01,INR
CUST-1084,Trident Group Barnala,Punjab,ZONE-NORTH,CC01,800000,732734.06,001,LOW,,2026-07-29,NET30,CG03,INR
CUST-1085,Vardhman Textiles Ludhiana,Punjab,ZONE-NORTH,CC01,1200000,674627.7,002,MEDIUM,,2026-08-09,NET30,CG03,INR
CUST-1086,Alok Industries Silvassa,Dadra & NH,ZONE-WEST,CC01,900000,328675.34,002,MEDIUM,,2026-07-29,NET45,CG03,INR
CUST-1087,Himatsingka Seide Bengaluru,Karnataka,ZONE-SOUTH,CC01,700000,572350.59,001,LOW,,2026-06-07,NET30,CG01,INR
CUST-1088,Mafatlal Industries Ahmedabad,Gujarat,ZONE-WEST,CC01,800000,571929.5,001,LOW,,2026-07-08,NET30,CG04,INR
CUST-1089,Garden Silk Mills Surat,Gujarat,ZONE-WEST,CC01,600000,243813.68,001,LOW,,2026-08-19,NET30,CG04,INR
CUST-1090,Bombay Dyeing Worli,Maharashtra,ZONE-WEST,CC01,750000,243014.99,001,LOW,,2026-07-26,NET45,CG03,INR
CUST-1091,Finolex Cables Pune,Maharashtra,ZONE-WEST,CC01,2000000,1775936.57,003,HIGH,,2026-07-25,NET30,CG03,INR
CUST-1092,Polycab Wires Halol,Gujarat,ZONE-WEST,CC01,2500000,1986533.32,001,LOW,,2026-08-01,NET30,CG03,INR
CUST-1093,KEI Industries Bhiwadi,Rajasthan,ZONE-NORTH,CC01,1800000,975744.42,002,MEDIUM,,2026-06-09,NET45,CG02,INR
CUST-1094,Sterlite Technologies Aurangabad,Maharashtra,ZONE-WEST,CC01,1500000,1147020.48,001,LOW,,2026-08-14,NET30,CG01,INR
CUST-1095,Apar Industries Silvassa,Dadra & NH,ZONE-WEST,CC01,1200000,802387.06,002,MEDIUM,,2026-06-03,NET45,CG03,INR
CUST-1096,Bharat Heavy Electricals Bhopal,Madhya Pradesh,ZONE-CENTRAL,CC01,8000000,5031556.98,001,LOW,,2026-08-09,NET60,CG04,INR
CUST-1097,Bharat Heavy Electricals Haridwar,Uttarakhand,ZONE-NORTH,CC01,6000000,3413966.88,003,HIGH,,2026-07-26,NET60,CG04,INR
CUST-1098,Bharat Heavy Electricals Hyderabad,Telangana,ZONE-SOUTH,CC01,5000000,3044434.74,002,MEDIUM,,2026-07-04,NET60,CG02,INR
CUST-1099,Alstom India Vadodara,Gujarat,ZONE-WEST,CC01,3000000,2250961.82,003,HIGH,,2026-06-12,NET45,CG01,INR
CUST-1100,GE Power India Noida,Uttar Pradesh,ZONE-NORTH,CC01,4000000,3637617.37,001,LOW,,2026-06-27,NET45,CG02,INR
