KUNNR,CTLPC,CTLPC_DESC,TOTAL_ORDERS,DISPUTED_ORDERS,DISPUTE_RATE,LATE_PAYMENTS,LATE_PAY_RATE,LAST_DISPUTE_TYPE,LAST_DISPUTE_DATE,CRBLB,BLACKLIST,CASHD,AVG_DSO_DAYS,VBAK_CTLPC
CUST-1091,003,HIGH,99,3,0.0303,12,0.1212,QUALITY_CLAIM,2026-01-18,,,2026-07-25,36,003
CUST-1092,001,LOW,161,17,0.1056,0,0.0,SHORT_SUPPLY,2026-03-05,,,2026-08-01,38,001
CUST-1093,002,MEDIUM,14,0,0.0,2,0.1429,NONE,,,,2026-06-09,18,002
CUST-1094,001,LOW,95,2,0.0211,3,0.0316,PRICE_DISPUTE,2026-05-09,,,2026-08-14,43,001
CUST-1095,002,MEDIUM,47,3,0.0638,0,0.0,NONE,2026-01-08,,,2026-06-03,36,002
CUST-1096,001,LOW,153,1,0.0065,0,0.0,DELIVERY_DELAY,2026-03-15,,,2026-08-09,52,001
CUST-1097,003,HIGH,76,5,0.0658,8,0.1053,QUALITY_CLAIM,2026-04-09,,,2026-07-26,18,003
CUST-1098,002,MEDIUM,154,17,0.1104,18,0.1169,WRONG_SHIPMENT,2026-07-10,,,2026-07-04,39,002
CUST-1099,003,HIGH,135,9,0.0667,21,0.1556,WRONG_SHIPMENT,2025-09-18,,X,2026-06-12,56,003
CUST-1100,001,LOW,200,15,0.075,16,0.08,QUALITY_CLAIM,2025-10-21,,,2026-06-27,40,001
