LIFNR,NAME1,ORT01,MATNR,NETPR,MINBM,WEBAZ,EKGRP,MONTHLY_CAP,BOOKED_CAP,AVAIL_CAP,RELIABILITY,LAND1,LOEVM
VEND-3015,Western Drives Ahmedabad,Gujarat,MAT-CG-10004,7380.78,2,19,PG02,492,113,379,0.88,IN,
VEND-3015,Western Drives Ahmedabad,Gujarat,MAT-CG-10005,11160.76,5,15,PG01,448,224,224,0.88,IN,
VEND-3013,Southern Electricals Chennai,Tamil Nadu,MAT-CG-10005,10690.44,10,22,PG02,510,271,239,0.86,IN,
VEND-3014,Eastern Motor Traders Kolkata,West Bengal,MAT-CG-10005,11621.97,50,22,PG01,119,54,65,0.84,IN,
VEND-3012,Electro Power Systems Delhi,Delhi,MAT-CG-10005,12783.93,50,11,PG03,337,153,184,0.85,IN,
VEND-3003,Crompton Authorized WD Delhi,Delhi,MAT-CG-10006,16534.81,50,6,PG02,385,207,178,0.93,IN,
VEND-3006,Crompton Authorized WD Chennai,Tamil Nadu,MAT-CG-10006,15070.01,20,13,PG03,422,27,395,0.92,IN,
VEND-3013,Southern Electricals Chennai,Tamil Nadu,MAT-CG-10006,14803.53,50,15,PG02,131,50,81,0.86,IN,
VEND-3004,Crompton Authorized WD Bengaluru,Karnataka,MAT-CG-10006,16678.07,5,11,PG03,161,46,115,0.94,IN,
VEND-3007,Crompton Authorized WD Kolkata,West Bengal,MAT-CG-10006,16252.91,50,6,PG03,267,186,81,0.9,IN,
VEND-3015,Western Drives Ahmedabad,Gujarat,MAT-CG-10007,20820.83,2,26,PG03,585,322,263,0.88,IN,
VEND-3013,Southern Electricals Chennai,Tamil Nadu,MAT-CG-10007,18363.39,2,8,PG02,184,59,125,0.86,IN,
VEND-3006,Crompton Authorized WD Chennai,Tamil Nadu,MAT-CG-10007,18343.02,2,9,PG02,599,198,401,0.92,IN,
VEND-3002,Crompton Authorized WD Mumbai,Maharashtra,MAT-CG-10007,20747.7,2,26,PG03,382,227,155,0.95,IN,
VEND-3001,Crompton Greaves OEM Direct,Maharashtra,MAT-CG-10007,20550.6,20,27,PG03,261,43,218,0.99,IN,
VEND-3015,Western Drives Ahmedabad,Gujarat,MAT-CG-10008,30187.78,5,10,PG02,261,0,261,0.88,IN,
VEND-3004,Crompton Authorized WD Bengaluru,Karnataka,MAT-CG-10008,27124.01,2,5,PG01,401,289,112,0.94,IN,
VEND-3006,Crompton Authorized WD Chennai,Tamil Nadu,MAT-CG-10008,29727.25,2,7,PG02,507,388,119,0.92,IN,
VEND-3005,Crompton Authorized WD Hyderabad,Telangana,MAT-CG-10008,26307.51,5,16,PG03,193,86,107,0.91,IN,
VEND-3002,Crompton Authorized WD Mumbai,Maharashtra,MAT-CG-10008,28704.86,50,15,PG01,345,225,120,0.95,IN,
VEND-3005,Crompton Authorized WD Hyderabad,Telangana,MAT-CG-10009,36898.66,2,16,PG03,26,14,12,0.91,IN,
VEND-3001,Crompton Greaves OEM Direct,Maharashtra,MAT-CG-10009,37261.4,5,26,PG01,85,46,39,0.99,IN,
VEND-3008,Crompton Authorized WD Ahmedabad,Gujarat,MAT-CG-10009,39770.82,10,26,PG03,16,0,16,0.93,IN,
VEND-3002,Crompton Authorized WD Mumbai,Maharashtra,MAT-CG-10009,38216.9,2,11,PG03,37,9,28,0.95,IN,
VEND-3013,Southern Electricals Chennai,Tamil Nadu,MAT-CG-10009,32512.26,10,9,PG01,84,15,69,0.86,IN,
VEND-3004,Crompton Authorized WD Bengaluru,Karnataka,MAT-CG-10009,32827.95,50,27,PG02,37,13,24,0.94,IN,
VEND-3002,Crompton Authorized WD Mumbai,Maharashtra,MAT-CG-10010,47205.84,10,24,PG03,90,12,78,0.95,IN,
VEND-3009,Crompton Authorized WD Pune,Maharashtra,MAT-CG-10010,41935.1,5,16,PG03,32,17,15,0.92,IN,
VEND-3005,Crompton Authorized WD Hyderabad,Telangana,MAT-CG-10010,40055.13,10,17,PG01,82,43,39,0.91,IN,
VEND-3001,Crompton Greaves OEM Direct,Maharashtra,MAT-CG-10011,53606.38,20,23,PG02,82,1,81,0.99,IN,
VEND-3007,Crompton Authorized WD Kolkata,West Bengal,MAT-CG-10011,47525.51,20,27,PG02,80,3,77,0.9,IN,
VEND-3008,Crompton Authorized WD Ahmedabad,Gujarat,MAT-CG-10011,47209.99,5,20,PG03,71,16,55,0.93,IN,
VEND-3012,Electro Power Systems Delhi,Delhi,MAT-CG-10012,67634.27,10,14,PG03,94,24,70,0.85,IN,
VEND-3011,National Electrical Traders Mumbai,Maharashtra,MAT-CG-10012,71614.77,2,5,PG02,99,47,52,0.87,IN,
VEND-3003,Crompton Authorized WD Delhi,Delhi,MAT-CG-10012,64995.74,5,15,PG02,72,29,43,0.93,IN,
VEND-3015,Western Drives Ahmedabad,Gujarat,MAT-CG-10012,62043.28,10,5,PG01,11,3,8,0.88,IN,
VEND-3004,Crompton Authorized WD Bengaluru,Karnataka,MAT-CG-10012,73300.28,10,13,PG01,73,13,60,0.94,IN,
VEND-3003,Crompton Authorized WD Delhi,Delhi,MAT-CG-10013,12714.88,5,26,PG03,268,149,119,0.93,IN,
VEND-3005,Crompton Authorized WD Hyderabad,Telangana,MAT-CG-10013,14797.33,10,15,PG01,233,56,177,0.91,IN,
VEND-3002,Crompton Authorized WD Mumbai,Maharashtra,MAT-CG-10013,14648.47,2,23,PG01,151,1,150,0.95,IN,
VEND-3008,Crompton Authorized WD Ahmedabad,Gujarat,MAT-CG-10013,12672.69,5,5,PG03,511,346,165,0.93,IN,
VEND-3009,Crompton Authorized WD Pune,Maharashtra,MAT-CG-10013,13264.37,2,9,PG01,503,261,242,0.92,IN,
VEND-3014,Eastern Motor Traders Kolkata,West Bengal,MAT-CG-10013,13662.78,5,30,PG01,170,98,72,0.84,IN,
VEND-3005,Crompton Authorized WD Hyderabad,Telangana,MAT-CG-10014,19707.5,50,22,PG03,547,171,376,0.91,IN,
VEND-3011,National Electrical Traders Mumbai,Maharashtra,MAT-CG-10014,20102.4,5,7,PG01,541,165,376,0.87,IN,
VEND-3006,Crompton Authorized WD Chennai,Tamil Nadu,MAT-CG-10014,17457.31,2,12,PG01,513,159,354,0.92,IN,
VEND-3011,National Electrical Traders Mumbai,Maharashtra,MAT-CG-10015,24232.06,2,13,PG02,458,181,277,0.87,IN,
VEND-3013,Southern Electricals Chennai,Tamil Nadu,MAT-CG-10015,25092.82,5,5,PG02,554,12,542,0.86,IN,
VEND-3003,Crompton Authorized WD Delhi,Delhi,MAT-CG-10015,25617.7,5,12,PG03,197,23,174,0.93,IN,
VEND-3001,Crompton Greaves OEM Direct,Maharashtra,MAT-CG-10015,22593.88,5,8,PG03,86,23,63,0.99,IN,
VEND-3014,Eastern Motor Traders Kolkata,West Bengal,MAT-CG-10015,23401.7,50,30,PG01,255,17,238,0.84,IN,
VEND-3008,Crompton Authorized WD Ahmedabad,Gujarat,MAT-CG-10015,21681.12,10,23,PG01,580,370,210,0.93,IN,
VEND-3002,Crompton Authorized WD Mumbai,Maharashtra,MAT-CG-10016,31886.45,50,7,PG03,78,23,55,0.95,IN,
VEND-3013,Southern Electricals Chennai,Tamil Nadu,MAT-CG-10016,33486.27,20,27,PG02,85,40,45,0.86,IN,
VEND-3015,Western Drives Ahmedabad,Gujarat,MAT-CG-10016,34309.35,20,22,PG03,31,22,9,0.88,IN,
VEND-3009,Crompton Authorized WD Pune,Maharashtra,MAT-CG-10016,29980.32,10,12,PG02,15,11,4,0.92,IN,
VEND-3007,Crompton Authorized WD Kolkata,West Bengal,MAT-CG-10016,35104.08,50,11,PG01,78,48,30,0.9,IN,
VEND-3004,Crompton Authorized WD Bengaluru,Karnataka,MAT-CG-10016,32177.96,5,21,PG03,80,62,18,0.94,IN,
VEND-3015,Western Drives Ahmedabad,Gujarat,MAT-CG-10017,43915.58,50,9,PG01,49,3,46,0.88,IN,
VEND-3003,Crompton Authorized WD Delhi,Delhi,MAT-CG-10017,38200.62,5,22,PG01,71,10,61,0.93,IN,
VEND-3013,Southern Electricals Chennai,Tamil Nadu,MAT-CG-10017,42864.26,5,9,PG03,88,37,51,0.86,IN,
VEND-3009,Crompton Authorized WD Pune,Maharashtra,MAT-CG-10017,40384.59,10,13,PG02,29,1,28,0.92,IN,
VEND-3005,Crompton Authorized WD Hyderabad,Telangana,MAT-CG-10017,44558.25,50,28,PG01,45,13,32,0.91,IN,
VEND-3006,Crompton Authorized WD Chennai,Tamil Nadu,MAT-CG-10017,46673.0,10,23,PG03,18,6,12,0.92,IN,
VEND-3012,Electro Power Systems Delhi,Delhi,MAT-CG-10018,49273.18,5,6,PG02,90,1,89,0.85,IN,
VEND-3001,Crompton Greaves OEM Direct,Maharashtra,MAT-CG-10018,50271.67,5,9,PG03,99,19,80,0.99,IN,
VEND-3011,National Electrical Traders Mumbai,Maharashtra,MAT-CG-10018,51802.19,5,27,PG01,66,31,35,0.87,IN,
VEND-3003,Crompton Authorized WD Delhi,Delhi,MAT-CG-10018,55718.95,2,29,PG01,41,23,18,0.93,IN,
VEND-3007,Crompton Authorized WD Kolkata,West Bengal,MAT-CG-10019,60903.42,2,26,PG01,62,16,46,0.9,IN,
VEND-3006,Crompton Authorized WD Chennai,Tamil Nadu,MAT-CG-10019,58800.51,20,19,PG02,54,38,16,0.92,IN,
VEND-3001,Crompton Greaves OEM Direct,Maharashtra,MAT-CG-10019,67365.41,2,24,PG03,55,25,30,0.99,IN,
VEND-3003,Crompton Authorized WD Delhi,Delhi,MAT-CG-10020,89444.72,2,18,PG03,12,2,10,0.93,IN,
VEND-3013,Southern Electricals Chennai,Tamil Nadu,MAT-CG-10020,80775.42,20,24,PG01,97,9,88,0.86,IN,
VEND-3002,Crompton Authorized WD Mumbai,Maharashtra,MAT-CG-10020,85424.59,50,11,PG01,30,18,12,0.95,IN,
VEND-3011,National Electrical Traders Mumbai,Maharashtra,MAT-CG-10020,77085.75,50,13,PG01,13,4,9,0.87,IN,
VEND-3007,Crompton Authorized WD Kolkata,West Bengal,MAT-CG-10021,100059.86,50,6,PG02,25,13,12,0.9,IN,
VEND-3003,Crompton Authorized WD Delhi,Delhi,MAT-CG-10021,108233.75,20,17,PG02,61,35,26,0.93,IN,
VEND-3014,Eastern Motor Traders Kolkata,West Bengal,MAT-CG-10021,94863.65,20,9,PG01,15,6,9,0.84,IN,
VEND-3010,Crompton Authorized WD Nagpur,Maharashtra,MAT-CG-10021,97496.52,2,14,PG03,83,50,33,0.89,IN,
VEND-3002,Crompton Authorized WD Mumbai,Maharashtra,MAT-CG-10021,96232.33,2,19,PG02,46,16,30,0.95,IN,
VEND-3004,Crompton Authorized WD Bengaluru,Karnataka,MAT-CG-10021,104126.98,50,29,PG01,60,12,48,0.94,IN,
VEND-3010,Crompton Authorized WD Nagpur,Maharashtra,MAT-CG-10022,130184.06,5,9,PG01,48,24,24,0.89,IN,
VEND-3007,Crompton Authorized WD Kolkata,West Bengal,MAT-CG-10022,137807.82,2,7,PG02,59,8,51,0.9,IN,
VEND-3006,Crompton Authorized WD Chennai,Tamil Nadu,MAT-CG-10022,131590.25,20,26,PG01,28,8,20,0.92,IN,
VEND-3001,Crompton Greaves OEM Direct,Maharashtra,MAT-CG-10022,141267.43,10,13,PG03,53,41,12,0.99,IN,
VEND-3002,Crompton Authorized WD Mumbai,Maharashtra,MAT-CG-10023,198212.18,20,24,PG03,91,5,86,0.95,IN,
VEND-3011,National Electrical Traders Mumbai,Maharashtra,MAT-CG-10023,206518.18,20,9,PG03,89,12,77,0.87,IN,
VEND-3009,Crompton Authorized WD Pune,Maharashtra,MAT-CG-10023,213269.83,2,26,PG03,40,19,21,0.92,IN,
VEND-3013,Southern Electricals Chennai,Tamil Nadu,MAT-CG-10023,187325.89,5,22,PG02,83,48,35,0.86,IN,
VEND-3015,Western Drives Ahmedabad,Gujarat,MAT-CG-10024,26051.48,2,16,PG03,551,95,456,0.88,IN,
VEND-3003,Crompton Authorized WD Delhi,Delhi,MAT-CG-10024,22872.88,5,6,PG03,321,57,264,0.93,IN,
VEND-3012,Electro Power Systems Delhi,Delhi,MAT-CG-10024,22048.71,10,26,PG03,326,19,307,0.85,IN,
VEND-3005,Crompton Authorized WD Hyderabad,Telangana,MAT-CG-10024,21798.27,10,16,PG02,591,207,384,0.91,IN,
VEND-3015,Western Drives Ahmedabad,Gujarat,MAT-CG-10025,38575.1,10,28,PG03,52,29,23,0.88,IN,
VEND-3012,Electro Power Systems Delhi,Delhi,MAT-CG-10025,38245.57,5,18,PG02,52,12,40,0.85,IN,
VEND-3010,Crompton Authorized WD Nagpur,Maharashtra,MAT-CG-10025,43328.49,10,17,PG02,82,60,22,0.89,IN,
VEND-3011,National Electrical Traders Mumbai,Maharashtra,MAT-CG-10025,38421.4,2,18,PG01,86,64,22,0.87,IN,
VEND-3005,Crompton Authorized WD Hyderabad,Telangana,MAT-CG-10025,35977.37,10,14,PG02,45,8,37,0.91,IN,
VEND-3008,Crompton Authorized WD Ahmedabad,Gujarat,MAT-CG-10025,40963.8,2,23,PG02,12,8,4,0.93,IN,
VEND-3009,Crompton Authorized WD Pune,Maharashtra,MAT-CG-10026,64260.27,10,23,PG02,86,18,68,0.92,IN,
VEND-3002,Crompton Authorized WD Mumbai,Maharashtra,MAT-CG-10026,71373.87,5,8,PG01,60,19,41,0.95,IN,
VEND-3006,Crompton Authorized WD Chennai,Tamil Nadu,MAT-CG-10026,71727.08,10,9,PG01,11,7,4,0.92,IN,
VEND-3003,Crompton Authorized WD Delhi,Delhi,MAT-CG-10026,73326.63,10,10,PG02,57,37,20,0.93,IN,
VEND-3007,Crompton Authorized WD Kolkata,West Bengal,MAT-CG-10026,60568.52,10,25,PG03,25,9,16,0.9,IN,
VEND-3004,Crompton Authorized WD Bengaluru,Karnataka,MAT-CG-10027,99304.7,10,11,PG03,24,9,15,0.94,IN,
VEND-3013,Southern Electricals Chennai,Tamil Nadu,MAT-CG-10027,95260.83,5,26,PG02,17,7,10,0.86,IN,
VEND-3003,Crompton Authorized WD Delhi,Delhi,MAT-CG-10027,102850.61,2,5,PG03,38,3,35,0.93,IN,
VEND-3007,Crompton Authorized WD Kolkata,West Bengal,MAT-CG-10027,93896.93,50,16,PG01,92,15,77,0.9,IN,
VEND-3015,Western Drives Ahmedabad,Gujarat,MAT-CG-10028,4685.88,50,13,PG02,537,47,490,0.88,IN,
VEND-3002,Crompton Authorized WD Mumbai,Maharashtra,MAT-CG-10028,4196.67,10,28,PG01,240,53,187,0.95,IN,
VEND-3014,Eastern Motor Traders Kolkata,West Bengal,MAT-CG-10028,4581.0,10,13,PG03,523,258,265,0.84,IN,
VEND-3006,Crompton Authorized WD Chennai,Tamil Nadu,MAT-CG-10028,3975.39,5,25,PG01,590,24,566,0.92,IN,
VEND-3012,Electro Power Systems Delhi,Delhi,MAT-CG-10029,5510.19,20,19,PG02,429,75,354,0.85,IN,
VEND-3009,Crompton Authorized WD Pune,Maharashtra,MAT-CG-10029,5758.25,10,18,PG01,215,147,68,0.92,IN,
VEND-3007,Crompton Authorized WD Kolkata,West Bengal,MAT-CG-10029,5248.07,10,6,PG03,279,119,160,0.9,IN,
VEND-3015,Western Drives Ahmedabad,Gujarat,MAT-CG-10030,9122.99,50,7,PG01,445,78,367,0.88,IN,
VEND-3013,Southern Electricals Chennai,Tamil Nadu,MAT-CG-10030,8834.13,2,6,PG01,456,166,290,0.86,IN,
VEND-3011,National Electrical Traders Mumbai,Maharashtra,MAT-CG-10030,9197.87,5,28,PG01,235,123,112,0.87,IN,
VEND-3005,Crompton Authorized WD Hyderabad,Telangana,MAT-CG-10031,13465.36,5,8,PG02,554,339,215,0.91,IN,
VEND-3003,Crompton Authorized WD Delhi,Delhi,MAT-CG-10031,12061.09,50,27,PG01,107,77,30,0.93,IN,
VEND-3006,Crompton Authorized WD Chennai,Tamil Nadu,MAT-CG-10031,12310.44,2,20,PG01,302,195,107,0.92,IN,
VEND-3004,Crompton Authorized WD Bengaluru,Karnataka,MAT-CG-10032,17218.94,5,21,PG02,467,318,149,0.94,IN,
VEND-3002,Crompton Authorized WD Mumbai,Maharashtra,MAT-CG-10032,16057.51,5,23,PG03,260,184,76,0.95,IN,
VEND-3015,Western Drives Ahmedabad,Gujarat,MAT-CG-10032,16855.92,5,28,PG02,576,401,175,0.88,IN,
VEND-3014,Eastern Motor Traders Kolkata,West Bengal,MAT-CG-10033,10951.39,20,12,PG03,320,37,283,0.84,IN,
VEND-3015,Western Drives Ahmedabad,Gujarat,MAT-CG-10033,11996.15,5,5,PG02,274,133,141,0.88,IN,
VEND-3011,National Electrical Traders Mumbai,Maharashtra,MAT-CG-10033,12207.31,5,30,PG02,452,242,210,0.87,IN,
VEND-3013,Southern Electricals Chennai,Tamil Nadu,MAT-CG-10033,11090.06,20,7,PG03,310,33,277,0.86,IN,
VEND-3004,Crompton Authorized WD Bengaluru,Karnataka,MAT-CG-10033,11674.25,2,6,PG03,438,17,421,0.94,IN,
VEND-3001,Crompton Greaves OEM Direct,Maharashtra,MAT-CG-10034,18897.21,5,17,PG01,203,129,74,0.99,IN,
VEND-3009,Crompton Authorized WD Pune,Maharashtra,MAT-CG-10034,17748.67,5,17,PG01,181,3,178,0.92,IN,
VEND-3003,Crompton Authorized WD Delhi,Delhi,MAT-CG-10034,19036.97,50,12,PG03,442,330,112,0.93,IN,
VEND-3007,Crompton Authorized WD Kolkata,West Bengal,MAT-CG-10034,16286.29,20,26,PG03,267,180,87,0.9,IN,
VEND-3010,Crompton Authorized WD Nagpur,Maharashtra,MAT-CG-10034,18733.84,50,13,PG02,525,362,163,0.89,IN,
VEND-3008,Crompton Authorized WD Ahmedabad,Gujarat,MAT-CG-10034,17140.5,10,9,PG01,569,102,467,0.93,IN,
VEND-3004,Crompton Authorized WD Bengaluru,Karnataka,MAT-CG-10035,29259.98,2,29,PG03,245,182,63,0.94,IN,
VEND-3012,Electro Power Systems Delhi,Delhi,MAT-CG-10035,32182.89,10,22,PG03,379,129,250,0.85,IN,
VEND-3003,Crompton Authorized WD Delhi,Delhi,MAT-CG-10035,31097.81,5,10,PG03,237,183,54,0.93,IN,
VEND-3013,Southern Electricals Chennai,Tamil Nadu,MAT-CG-10035,26561.82,5,24,PG02,442,207,235,0.86,IN,
VEND-3006,Crompton Authorized WD Chennai,Tamil Nadu,MAT-CG-10036,43672.58,5,7,PG03,41,30,11,0.92,IN,
VEND-3011,National Electrical Traders Mumbai,Maharashtra,MAT-CG-10036,36941.11,20,26,PG02,24,17,7,0.87,IN,
VEND-3001,Crompton Greaves OEM Direct,Maharashtra,MAT-CG-10036,43366.24,2,20,PG03,45,6,39,0.99,IN,
VEND-3007,Crompton Authorized WD Kolkata,West Bengal,MAT-CG-10036,43608.34,10,29,PG01,50,14,36,0.9,IN,
VEND-3003,Crompton Authorized WD Delhi,Delhi,MAT-CG-10037,60972.47,2,21,PG02,59,11,48,0.93,IN,
VEND-3001,Crompton Greaves OEM Direct,Maharashtra,MAT-CG-10037,58780.5,20,26,PG02,94,51,43,0.99,IN,
VEND-3011,National Electrical Traders Mumbai,Maharashtra,MAT-CG-10037,59858.21,10,30,PG02,59,4,55,0.87,IN,
VEND-3002,Crompton Authorized WD Mumbai,Maharashtra,MAT-CG-10037,59916.68,50,7,PG01,15,5,10,0.95,IN,
VEND-3004,Crompton Authorized WD Bengaluru,Karnataka,MAT-CG-10037,60551.98,20,28,PG02,90,8,82,0.94,IN,
VEND-3002,Crompton Authorized WD Mumbai,Maharashtra,MAT-CG-10038,13764.84,2,23,PG03,430,168,262,0.95,IN,
VEND-3010,Crompton Authorized WD Nagpur,Maharashtra,MAT-CG-10038,14234.34,5,23,PG02,173,96,77,0.89,IN,
VEND-3013,Southern Electricals Chennai,Tamil Nadu,MAT-CG-10038,13960.42,5,6,PG02,541,280,261,0.86,IN,
VEND-3013,Southern Electricals Chennai,Tamil Nadu,MAT-CG-10039,22553.91,5,26,PG01,339,86,253,0.86,IN,
VEND-3003,Crompton Authorized WD Delhi,Delhi,MAT-CG-10039,24576.99,20,8,PG01,152,79,73,0.93,IN,
VEND-3001,Crompton Greaves OEM Direct,Maharashtra,MAT-CG-10039,21959.01,5,23,PG01,171,38,133,0.99,IN,
VEND-3015,Western Drives Ahmedabad,Gujarat,MAT-CG-10040,32384.45,50,21,PG02,92,58,34,0.88,IN,
VEND-3010,Crompton Authorized WD Nagpur,Maharashtra,MAT-CG-10040,30755.22,20,20,PG01,37,2,35,0.89,IN,
VEND-3007,Crompton Authorized WD Kolkata,West Bengal,MAT-CG-10040,30531.32,20,26,PG01,20,5,15,0.9,IN,
VEND-3008,Crompton Authorized WD Ahmedabad,Gujarat,MAT-CG-10040,34341.26,50,22,PG03,68,21,47,0.93,IN,
VEND-3009,Crompton Authorized WD Pune,Maharashtra,MAT-CG-10040,33322.15,10,12,PG03,70,41,29,0.92,IN,
VEND-3014,Eastern Motor Traders Kolkata,West Bengal,MAT-CG-10040,34270.18,10,11,PG01,36,20,16,0.84,IN,
VEND-3011,National Electrical Traders Mumbai,Maharashtra,MAT-CG-10041,46370.13,50,26,PG03,52,19,33,0.87,IN,
VEND-3013,Southern Electricals Chennai,Tamil Nadu,MAT-CG-10041,46302.33,2,9,PG01,84,42,42,0.86,IN,
VEND-3007,Crompton Authorized WD Kolkata,West Bengal,MAT-CG-10041,50402.99,10,5,PG02,30,3,27,0.9,IN,
VEND-3013,Southern Electricals Chennai,Tamil Nadu,MAT-CG-10042,1826.87,2,5,PG01,370,245,125,0.86,IN,
VEND-3007,Crompton Authorized WD Kolkata,West Bengal,MAT-CG-10042,2017.14,10,14,PG03,510,287,223,0.9,IN,
VEND-3005,Crompton Authorized WD Hyderabad,Telangana,MAT-CG-10042,1990.78,50,19,PG03,525,254,271,0.91,IN,
VEND-3015,Western Drives Ahmedabad,Gujarat,MAT-CG-10042,2192.08,2,18,PG01,540,158,382,0.88,IN,
VEND-3010,Crompton Authorized WD Nagpur,Maharashtra,MAT-CG-10042,2001.48,2,13,PG02,474,177,297,0.89,IN,
VEND-3008,Crompton Authorized WD Ahmedabad,Gujarat,MAT-CG-10042,1993.19,10,15,PG03,113,2,111,0.93,IN,
VEND-3008,Crompton Authorized WD Ahmedabad,Gujarat,MAT-CG-10043,3088.59,50,10,PG02,475,139,336,0.93,IN,
VEND-3004,Crompton Authorized WD Bengaluru,Karnataka,MAT-CG-10043,2804.58,50,25,PG02,531,40,491,0.94,IN,
VEND-3001,Crompton Greaves OEM Direct,Maharashtra,MAT-CG-10043,3170.27,5,15,PG01,220,145,75,0.99,IN,
VEND-3010,Crompton Authorized WD Nagpur,Maharashtra,MAT-CG-10043,2967.48,20,28,PG01,130,88,42,0.89,IN,
VEND-3006,Crompton Authorized WD Chennai,Tamil Nadu,MAT-CG-10044,3867.3,5,18,PG02,244,118,126,0.92,IN,
VEND-3015,Western Drives Ahmedabad,Gujarat,MAT-CG-10044,4221.78,50,14,PG03,320,20,300,0.88,IN,
VEND-3002,Crompton Authorized WD Mumbai,Maharashtra,MAT-CG-10044,3851.14,10,18,PG03,423,313,110,0.95,IN,
VEND-3003,Crompton Authorized WD Delhi,Delhi,MAT-CG-10044,3774.62,10,29,PG02,525,126,399,0.93,IN,
VEND-3012,Electro Power Systems Delhi,Delhi,MAT-CG-10045,5767.18,50,8,PG02,154,101,53,0.85,IN,
VEND-3004,Crompton Authorized WD Bengaluru,Karnataka,MAT-CG-10045,5698.49,10,13,PG03,330,124,206,0.94,IN,
VEND-3005,Crompton Authorized WD Hyderabad,Telangana,MAT-CG-10045,5035.25,10,18,PG02,541,145,396,0.91,IN,
VEND-3015,Western Drives Ahmedabad,Gujarat,MAT-CG-10045,5616.9,50,10,PG01,97,67,30,0.88,IN,
VEND-3013,Southern Electricals Chennai,Tamil Nadu,MAT-CG-10045,5435.91,50,18,PG01,309,12,297,0.86,IN,
VEND-3012,Electro Power Systems Delhi,Delhi,MAT-CG-10046,6927.52,2,5,PG03,356,51,305,0.85,IN,
VEND-3004,Crompton Authorized WD Bengaluru,Karnataka,MAT-CG-10046,6646.5,5,8,PG02,536,66,470,0.94,IN,
VEND-3010,Crompton Authorized WD Nagpur,Maharashtra,MAT-CG-10046,7043.6,50,16,PG01,124,61,63,0.89,IN,
VEND-3011,National Electrical Traders Mumbai,Maharashtra,MAT-CG-10046,7108.96,20,30,PG03,373,211,162,0.87,IN,
VEND-3009,Crompton Authorized WD Pune,Maharashtra,MAT-CG-10046,6610.75,2,6,PG02,215,32,183,0.92,IN,
VEND-3015,Western Drives Ahmedabad,Gujarat,MAT-CG-10046,7823.14,20,7,PG01,364,221,143,0.88,IN,
VEND-3010,Crompton Authorized WD Nagpur,Maharashtra,MAT-CG-10047,4995.68,2,11,PG03,444,54,390,0.89,IN,
VEND-3001,Crompton Greaves OEM Direct,Maharashtra,MAT-CG-10047,5793.61,10,21,PG03,552,170,382,0.99,IN,
VEND-3014,Eastern Motor Traders Kolkata,West Bengal,MAT-CG-10047,5210.5,10,25,PG03,481,97,384,0.84,IN,
VEND-3003,Crompton Authorized WD Delhi,Delhi,MAT-CG-10047,5458.69,20,30,PG01,562,1,561,0.93,IN,
